slug_game,medal_events,sport_events,year
athens-1896,43,10,1896
paris-1900,195,20,1900
st-louis-1904,94,18,1904
london-1908,106,24,1908
stockholm-1912,97,18,1912
antwerp-1920,154,28,1920
chamonix-1924,15,9,1924
paris-1924,123,22,1924
amsterdam-1928,105,19,1928
st-moritz-1928,12,8,1928
lake-placid-1932,21,7,1932
los-angeles-1932,114,19,1932
berlin-1936,120,24,1936
garmisch-partenkirchen-1936,16,8,1936
london-1948,132,23,1948
st-moritz-1948,20,9,1948
helsinki-1952,140,22,1952
oslo-1952,21,8,1952
cortina-d-ampezzo-1956,23,8,1956
melbourne-1956,144,20,1956
rome-1960,146,22,1960
squaw-valley-1960,26,8,1960
innsbruck-1964,33,10,1964
tokyo-1964,159,24,1964
grenoble-1968,34,10,1968
mexico-city-1968,168,23,1968
munich-1972,191,27,1972
sapporo-1972,34,10,1972
innsbruck-1976,36,10,1976
montreal-1976,195,26,1976
lake-placid-1980,37,10,1980
moscow-1980,198,26,1980
los-angeles-1984,219,28,1984
sarajevo-1984,42,10,1984
calgary-1988,49,10,1988
seoul-1988,236,30,1988
albertville-1992,58,12,1992
barcelona-1992,245,33,1992
lillehammer-1994,56,12,1994
atlanta-1996,260,36,1996
nagano-1998,61,14,1998
sydney-2000,287,39,2000
salt-lake-city-2002,69,15,2002
athens-2004,287,39,2004
turin-2006,77,15,2006
beijing-2008,283,41,2008
vancouver-2010,79,15,2010
london-2012,290,39,2012
sochi-2014,91,15,2014
rio-2016,289,41,2016
pyeongchang-2018,92,15,2018
tokyo-2020,298,46,2020
beijing-2022,98,15,2022
